;infix;prefix;conclusion
403;( ( 1 or 5 ) and ( 2 and 2 ) );and or 1 5 and 2 2;2
404;( 3 or ( 3 or 3 ) );or 3 or 3 3;3
405;( 3 and ( 5 or 2 ) );and 3 or 5 2;3
406;( ( 3 or 5 ) and ( 3 and 3 ) );and or 3 5 and 3 3;3
407;( ( 3 and 4 ) or ( 3 and 1 ) );or and 3 4 and 3 1;3
408;( ( 1 or 4 ) and ( 1 or 1 ) );and or 1 4 or 1 1;1
409;( ( 1 and 3 ) or ( 1 and 4 ) );or and 1 3 and 1 4;1
410;( 2 or ( 2 and 4 ) );or 2 and 2 4;2
411;( ( 4 or 2 ) and ( 4 and 4 ) );and or 4 2 and 4 4;4
412;( 1 and ( 1 or 2 ) );and 1 or 1 2;1
413;( not 2 and ( 2 or 5 ) );and not 2 or 2 5;5
414;( ( 1 or 4 ) and ( 2 and 2 ) );and or 1 4 and 2 2;2
415;( ( 5 or 3 ) and not 3 );and or 5 3 not 3;5
416;( ( 2 and 3 ) or ( 3 and 5 ) );or and 2 3 and 3 5;3
417;( ( 3 or 3 ) or ( 3 and 1 ) );or or 3 3 and 3 1;3
418;( 4 and ( 4 or 2 ) );and 4 or 4 2;4
419;( ( 3 or 3 ) and not 5 );and or 3 3 not 5;3
420;( 5 and ( 5 or 5 ) );and 5 or 5 5;5
421;( ( 3 and 3 ) and ( 5 or 4 ) );and and 3 3 or 5 4;3
422;( ( 3 or 3 ) and not 1 );and or 3 3 not 1;3
423;( ( 5 and 1 ) or ( 5 or 5 ) );or and 5 1 or 5 5;5
424;( 1 and ( 1 or 1 ) );and 1 or 1 1;1
425;( ( 5 and 5 ) or ( 4 and 5 ) );or and 5 5 and 4 5;5
426;( ( 1 or 5 ) and not 1 );and or 1 5 not 1;5
427;( ( 2 and 4 ) or ( 2 or 2 ) );or and 2 4 or 2 2;2
428;( ( 2 or 2 ) and not 5 );and or 2 2 not 5;2
429;( ( 3 and 1 ) or 1 );or and 3 1 1;1
430;( ( 1 and 1 ) or 1 );or and 1 1 1;1
431;( ( 2 or 2 ) and ( 3 or 1 ) );and or 2 2 or 3 1;2
432;( ( 5 or 5 ) or ( 5 and 3 ) );or or 5 5 and 5 3;5
433;( 4 and ( 4 or 3 ) );and 4 or 4 3;4
434;( not 5 and ( 5 or 3 ) );and not 5 or 5 3;3
435;( ( 4 and 4 ) and ( 1 or 2 ) );and and 4 4 or 1 2;4
436;( ( 1 and 2 ) or ( 4 and 1 ) );or and 1 2 and 4 1;1
437;( ( 5 and 1 ) or ( 1 and 2 ) );or and 5 1 and 1 2;1
438;( 4 and ( 5 or 1 ) );and 4 or 5 1;4
439;( not 5 and ( 2 and 2 ) );and not 5 and 2 2;2
440;( not 2 and ( 1 or 1 ) );and not 2 or 1 1;1
441;( ( 2 and 2 ) and ( 3 or 5 ) );and and 2 2 or 3 5;2
442;( not 5 and ( 5 or 4 ) );and not 5 or 5 4;4
443;( ( 5 or 5 ) and not 4 );and or 5 5 not 4;5
444;( ( 2 or 5 ) and ( 5 and 5 ) );and or 2 5 and 5 5;5
445;( ( 1 or 3 ) and ( 2 and 2 ) );and or 1 3 and 2 2;2
446;( ( 3 and 2 ) or ( 5 and 2 ) );or and 3 2 and 5 2;2
447;( 3 and not 2 );and 3 not 2;3
448;( ( 2 or 2 ) or ( 4 and 2 ) );or or 2 2 and 4 2;2
449;( ( 3 and 2 ) or ( 2 and 1 ) );or and 3 2 and 2 1;2
450;( ( 5 or 2 ) and 3 );and or 5 2 3;3
451;( ( 1 or 1 ) and ( 1 and 1 ) );and or 1 1 and 1 1;1
452;( not 1 and ( 5 or 1 ) );and not 1 or 5 1;5
453;( ( 5 or 4 ) and 5 );and or 5 4 5;5
454;( ( 4 and 5 ) or ( 4 and 3 ) );or and 4 5 and 4 3;4
455;( ( 2 and 4 ) or ( 2 and 1 ) );or and 2 4 and 2 1;2
456;( ( 5 or 3 ) and ( 5 or 5 ) );and or 5 3 or 5 5;5
457;( not 3 and ( 1 and 1 ) );and not 3 and 1 1;1
458;( ( 2 and 2 ) and ( 1 or 4 ) );and and 2 2 or 1 4;2
459;( 4 or 4 );or 4 4;4
460;( ( 2 or 2 ) and ( 2 or 1 ) );and or 2 2 or 2 1;2
461;( ( 3 and 3 ) or ( 4 and 3 ) );or and 3 3 and 4 3;3
462;( ( 1 or 4 ) and not 1 );and or 1 4 not 1;4
463;( ( 5 or 1 ) and 4 );and or 5 1 4;4
464;( ( 1 and 5 ) or ( 4 and 5 ) );or and 1 5 and 4 5;5
465;( 5 and 5 );and 5 5;5
466;( ( 1 and 3 ) or ( 3 and 3 ) );or and 1 3 and 3 3;3
467;( ( 5 and 5 ) and ( 4 or 3 ) );and and 5 5 or 4 3;5
468;( ( 4 and 4 ) and ( 4 or 2 ) );and and 4 4 or 4 2;4
469;( ( 1 and 1 ) or ( 1 and 4 ) );or and 1 1 and 1 4;1
470;( ( 4 or 1 ) and ( 2 or 2 ) );and or 4 1 or 2 2;2
471;( ( 5 and 2 ) or ( 2 or 2 ) );or and 5 2 or 2 2;2
472;( not 3 and ( 1 or 1 ) );and not 3 or 1 1;1
473;( ( 4 or 4 ) and ( 2 or 1 ) );and or 4 4 or 2 1;4
474;( ( 5 or 5 ) and ( 5 and 5 ) );and or 5 5 and 5 5;5
475;( ( 3 or 4 ) and ( 1 and 1 ) );and or 3 4 and 1 1;1
476;( not 1 and ( 4 or 4 ) );and not 1 or 4 4;4
477;( not 2 and ( 4 or 2 ) );and not 2 or 4 2;4
478;( ( 3 or 3 ) and ( 4 or 3 ) );and or 3 3 or 4 3;3
479;( ( 5 or 5 ) and ( 3 or 2 ) );and or 5 5 or 3 2;5
480;( 1 and ( 4 or 1 ) );and 1 or 4 1;1
481;( ( 5 or 3 ) and not 5 );and or 5 3 not 5;3
482;( ( 4 or 4 ) and ( 4 or 1 ) );and or 4 4 or 4 1;4
483;( ( 5 or 5 ) and not 2 );and or 5 5 not 2;5
484;( ( 1 or 2 ) and 4 );and or 1 2 4;4
485;( ( 4 and 1 ) or ( 4 and 5 ) );or and 4 1 and 4 5;4
486;( ( 3 and 3 ) and ( 1 or 3 ) );and and 3 3 or 1 3;3
487;( 4 and ( 1 or 3 ) );and 4 or 1 3;4
488;( 5 or ( 3 and 5 ) );or 5 and 3 5;5
489;( ( 1 or 5 ) and ( 3 and 3 ) );and or 1 5 and 3 3;3
490;( not 4 and 3 );and not 4 3;3
491;( ( 3 or 4 ) and 4 );and or 3 4 4;4
492;( ( 2 or 3 ) and not 2 );and or 2 3 not 2;3
493;( ( 2 and 4 ) or 4 );or and 2 4 4;4
494;( ( 3 or 4 ) and 3 );and or 3 4 3;3
495;( ( 3 or 2 ) and ( 1 and 1 ) );and or 3 2 and 1 1;1
496;( ( 5 and 5 ) and ( 2 or 1 ) );and and 5 5 or 2 1;5
497;( ( 1 and 3 ) or ( 3 and 4 ) );or and 1 3 and 3 4;3
498;( ( 1 and 2 ) or ( 1 or 1 ) );or and 1 2 or 1 1;1
499;( ( 3 or 2 ) and 4 );and or 3 2 4;4
500;( ( 5 and 5 ) and ( 5 or 1 ) );and and 5 5 or 5 1;5
501;( ( 1 or 2 ) and not 1 );and or 1 2 not 1;2
502;( ( 3 and 3 ) and ( 3 or 3 ) );and and 3 3 or 3 3;3
503;( 2 and not 4 );and 2 not 4;2
504;( ( 1 and 5 ) or ( 1 and 4 ) );or and 1 5 and 1 4;1
505;( 5 or ( 5 and 3 ) );or 5 and 5 3;5
506;( 1 and ( 4 or 2 ) );and 1 or 4 2;1
507;( ( 1 and 5 ) or ( 1 and 2 ) );or and 1 5 and 1 2;1
508;( ( 2 or 3 ) and ( 5 or 5 ) );and or 2 3 or 5 5;5
509;( ( 3 and 1 ) or ( 3 and 3 ) );or and 3 1 and 3 3;3
510;( ( 3 and 5 ) or ( 1 and 5 ) );or and 3 5 and 1 5;5
511;( not 2 and ( 5 and 5 ) );and not 2 and 5 5;5
512;( ( 2 or 1 ) and ( 4 or 4 ) );and or 2 1 or 4 4;4
513;( ( 5 and 3 ) or ( 4 and 3 ) );or and 5 3 and 4 3;3
514;( ( 3 and 5 ) or ( 2 and 3 ) );or and 3 5 and 2 3;3
515;( ( 3 and 3 ) and not 1 );and and 3 3 not 1;3
516;( ( 1 and 1 ) and ( 2 or 4 ) );and and 1 1 or 2 4;1
517;( 4 and not 2 );and 4 not 2;4
518;( ( 1 and 1 ) or ( 5 and 1 ) );or and 1 1 and 5 1;1
519;( ( 3 or 3 ) or ( 3 and 4 ) );or or 3 3 and 3 4;3
520;( ( 2 or 2 ) and ( 5 or 3 ) );and or 2 2 or 5 3;2
521;( ( 5 or 2 ) and ( 4 or 4 ) );and or 5 2 or 4 4;4
522;( ( 3 or 2 ) and ( 4 or 4 ) );and or 3 2 or 4 4;4
523;( ( 4 or 4 ) and ( 4 and 4 ) );and or 4 4 and 4 4;4
524;( 3 or ( 3 and 5 ) );or 3 and 3 5;3
525;( ( 2 and 5 ) or ( 3 and 2 ) );or and 2 5 and 3 2;2
526;( ( 5 and 4 ) or ( 4 and 3 ) );or and 5 4 and 4 3;4
527;( not 3 and ( 5 and 5 ) );and not 3 and 5 5;5
528;( ( 1 or 2 ) and 5 );and or 1 2 5;5
529;( 2 and ( 4 or 5 ) );and 2 or 4 5;2
530;( ( 5 and 5 ) or 5 );or and 5 5 5;5
531;( ( 4 or 5 ) and ( 4 or 4 ) );and or 4 5 or 4 4;4
532;( ( 5 or 2 ) and ( 1 and 1 ) );and or 5 2 and 1 1;1
533;( 3 and ( 5 or 1 ) );and 3 or 5 1;3
534;( ( 5 or 3 ) and 2 );and or 5 3 2;2
535;( ( 4 and 4 ) and not 3 );and and 4 4 not 3;4
536;( ( 1 or 5 ) and 2 );and or 1 5 2;2
537;( 1 or ( 1 and 5 ) );or 1 and 1 5;1
538;( ( 2 and 4 ) or ( 1 and 2 ) );or and 2 4 and 1 2;2
539;( ( 3 or 4 ) and 2 );and or 3 4 2;2
540;( ( 3 or 1 ) and not 1 );and or 3 1 not 1;3
541;( ( 1 and 1 ) or ( 1 or 1 ) );or and 1 1 or 1 1;1
542;( 1 and ( 3 or 2 ) );and 1 or 3 2;1
543;( ( 1 or 2 ) and not 2 );and or 1 2 not 2;1
544;( ( 1 and 3 ) or ( 3 or 3 ) );or and 1 3 or 3 3;3
545;( ( 5 or 4 ) and ( 3 or 3 ) );and or 5 4 or 3 3;3
546;( ( 1 and 1 ) and ( 2 or 5 ) );and and 1 1 or 2 5;1
547;( ( 3 and 1 ) or ( 3 and 2 ) );or and 3 1 and 3 2;3
548;( not 3 and ( 2 or 2 ) );and not 3 or 2 2;2
549;( not 1 and 4 );and not 1 4;4
550;( ( 3 and 4 ) or ( 4 and 5 ) );or and 3 4 and 4 5;4
551;( ( 4 and 4 ) and ( 4 or 4 ) );and and 4 4 or 4 4;4
552;( not 1 and ( 4 or 1 ) );and not 1 or 4 1;4
553;( ( 5 and 5 ) or ( 2 and 5 ) );or and 5 5 and 2 5;5
554;( ( 3 or 1 ) and ( 2 and 2 ) );and or 3 1 and 2 2;2
555;( ( 5 and 5 ) and ( 5 or 3 ) );and and 5 5 or 5 3;5
556;( 3 or ( 4 and 3 ) );or 3 and 4 3;3
557;( ( 5 and 5 ) and 5 );and and 5 5 5;5
558;( ( 2 and 2 ) or ( 1 and 2 ) );or and 2 2 and 1 2;2
559;( ( 5 or 5 ) and 5 );and or 5 5 5;5
560;( ( 4 or 3 ) and ( 4 or 4 ) );and or 4 3 or 4 4;4
561;( ( 4 and 2 ) or ( 4 and 1 ) );or and 4 2 and 4 1;4
562;( ( 1 and 5 ) or ( 5 and 5 ) );or and 1 5 and 5 5;5
563;( ( 1 and 5 ) or ( 5 and 3 ) );or and 1 5 and 5 3;5
564;( 2 and ( 2 or 1 ) );and 2 or 2 1;2
565;( ( 3 or 3 ) or ( 3 and 5 ) );or or 3 3 and 3 5;3
566;( ( 2 and 1 ) or ( 1 and 3 ) );or and 2 1 and 1 3;1
567;( ( 3 and 3 ) and ( 4 or 1 ) );and and 3 3 or 4 1;3
568;( ( 4 and 1 ) or 1 );or and 4 1 1;1
569;( ( 4 and 5 ) or ( 2 and 4 ) );or and 4 5 and 2 4;4
570;( ( 1 and 5 ) or ( 1 and 3 ) );or and 1 5 and 1 3;1
571;( 2 and ( 1 or 5 ) );and 2 or 1 5;2
572;( ( 2 or 5 ) and not 2 );and or 2 5 not 2;5
573;( ( 4 or 1 ) and 5 );and or 4 1 5;5
574;( 2 and ( 3 or 1 ) );and 2 or 3 1;2
575;( not 4 and ( 3 or 4 ) );and not 4 or 3 4;3
576;( ( 2 and 4 ) or ( 4 and 3 ) );or and 2 4 and 4 3;4
577;( ( 1 or 4 ) and ( 5 or 5 ) );and or 1 4 or 5 5;5
578;( ( 1 or 4 ) and 4 );and or 1 4 4;4
579;( ( 1 and 2 ) or ( 2 and 5 ) );or and 1 2 and 2 5;2
580;( 2 or ( 4 and 2 ) );or 2 and 4 2;2
581;( ( 1 and 4 ) or 1 );or and 1 4 1;1
582;( 5 and ( 1 or 4 ) );and 5 or 1 4;5
583;( ( 5 and 2 ) or ( 2 and 1 ) );or and 5 2 and 2 1;2
584;( ( 4 and 5 ) or ( 5 and 1 ) );or and 4 5 and 5 1;5
585;( not 1 and ( 1 or 3 ) );and not 1 or 1 3;3
586;( ( 4 and 4 ) and ( 1 or 3 ) );and and 4 4 or 1 3;4
587;( ( 3 and 4 ) or ( 1 and 3 ) );or and 3 4 and 1 3;3
588;( ( 1 and 1 ) and ( 4 or 2 ) );and and 1 1 or 4 2;1
589;( ( 2 or 5 ) and ( 3 and 3 ) );and or 2 5 and 3 3;3
590;( ( 2 or 4 ) and ( 4 or 4 ) );and or 2 4 or 4 4;4
591;( ( 2 and 3 ) or ( 5 and 2 ) );or and 2 3 and 5 2;2
592;( ( 3 and 4 ) or ( 5 and 4 ) );or and 3 4 and 5 4;4
593;( ( 1 or 4 ) and ( 3 and 3 ) );and or 1 4 and 3 3;3
594;( ( 4 or 3 ) and 4 );and or 4 3 4;4
595;( ( 1 and 3 ) or ( 5 and 1 ) );or and 1 3 and 5 1;1
596;( 2 and 2 );and 2 2;2
597;( ( 1 or 3 ) and ( 2 or 2 ) );and or 1 3 or 2 2;2
598;( ( 2 and 2 ) or ( 3 and 2 ) );or and 2 2 and 3 2;2
599;( ( 1 or 3 ) and ( 3 or 3 ) );and or 1 3 or 3 3;3
600;( ( 4 or 3 ) and 2 );and or 4 3 2;2
601;( ( 4 or 5 ) and ( 2 or 2 ) );and or 4 5 or 2 2;2
602;( 5 and ( 3 or 5 ) );and 5 or 3 5;5
603;( 4 and ( 4 or 5 ) );and 4 or 4 5;4
604;( ( 1 and 2 ) or 2 );or and 1 2 2;2
605;( 4 and ( 1 or 2 ) );and 4 or 1 2;4
606;( ( 2 and 5 ) or ( 2 and 4 ) );or and 2 5 and 2 4;2
607;( ( 4 or 4 ) or ( 2 and 4 ) );or or 4 4 and 2 4;4
608;( ( 1 or 3 ) and not 1 );and or 1 3 not 1;3
609;( ( 1 and 1 ) and ( 5 or 2 ) );and and 1 1 or 5 2;1
610;( ( 4 and 2 ) or ( 2 and 5 ) );or and 4 2 and 2 5;2
611;( ( 2 or 1 ) and ( 5 or 5 ) );and or 2 1 or 5 5;5
612;( ( 2 and 2 ) and not 5 );and and 2 2 not 5;2
613;( ( 1 or 1 ) or ( 4 and 1 ) );or or 1 1 and 4 1;1
614;( ( 3 or 1 ) and ( 5 or 5 ) );and or 3 1 or 5 5;5
615;( ( 4 and 3 ) or ( 1 and 4 ) );or and 4 3 and 1 4;4
616;( ( 2 and 1 ) or ( 5 and 2 ) );or and 2 1 and 5 2;2
617;( ( 1 and 1 ) and not 4 );and and 1 1 not 4;1
618;( ( 4 and 4 ) or ( 3 and 4 ) );or and 4 4 and 3 4;4
619;( 2 and ( 2 or 2 ) );and 2 or 2 2;2
620;( 1 and ( 2 or 5 ) );and 1 or 2 5;1
621;( ( 2 and 1 ) or ( 2 and 5 ) );or and 2 1 and 2 5;2
622;( ( 5 and 4 ) or ( 3 and 5 ) );or and 5 4 and 3 5;5
623;( not 4 and ( 2 or 4 ) );and not 4 or 2 4;2
624;( ( 4 or 5 ) and ( 5 and 5 ) );and or 4 5 and 5 5;5
625;( ( 3 and 3 ) and ( 5 or 2 ) );and and 3 3 or 5 2;3
626;( not 1 and 2 );and not 1 2;2
627;( ( 3 and 5 ) or ( 1 and 3 ) );or and 3 5 and 1 3;3
628;( ( 3 and 4 ) or ( 5 and 3 ) );or and 3 4 and 5 3;3
629;( ( 1 and 5 ) or ( 5 and 4 ) );or and 1 5 and 5 4;5
630;( ( 2 and 5 ) or ( 2 and 1 ) );or and 2 5 and 2 1;2
631;( ( 4 or 3 ) and 3 );and or 4 3 3;3
632;( not 3 and ( 1 or 3 ) );and not 3 or 1 3;1
633;( 2 and ( 2 or 5 ) );and 2 or 2 5;2
634;( ( 2 and 5 ) or ( 3 and 5 ) );or and 2 5 and 3 5;5
635;( ( 4 and 3 ) or ( 3 and 3 ) );or and 4 3 and 3 3;3
636;( ( 3 or 4 ) and 5 );and or 3 4 5;5
637;( ( 5 or 3 ) and ( 3 and 3 ) );and or 5 3 and 3 3;3
638;( ( 5 or 3 ) and 3 );and or 5 3 3;3
639;( not 1 and ( 3 or 3 ) );and not 1 or 3 3;3
640;( ( 5 and 4 ) or ( 3 and 4 ) );or and 5 4 and 3 4;4
641;( 1 or ( 1 or 1 ) );or 1 or 1 1;1
642;( ( 2 or 1 ) and 2 );and or 2 1 2;2
643;( 5 and ( 1 or 3 ) );and 5 or 1 3;5
644;( ( 4 or 4 ) and ( 1 or 3 ) );and or 4 4 or 1 3;4
645;( ( 5 or 3 ) and ( 4 and 4 ) );and or 5 3 and 4 4;4
646;( ( 3 or 4 ) and ( 5 or 5 ) );and or 3 4 or 5 5;5
647;( ( 2 or 2 ) and 2 );and or 2 2 2;2
648;( ( 4 or 3 ) and 1 );and or 4 3 1;1
649;( ( 4 and 1 ) or ( 1 and 3 ) );or and 4 1 and 1 3;1
650;( ( 3 and 1 ) or ( 3 and 5 ) );or and 3 1 and 3 5;3
651;( ( 3 and 2 ) or ( 3 and 5 ) );or and 3 2 and 3 5;3
652;( ( 3 or 5 ) and 5 );and or 3 5 5;5
653;( 1 and ( 5 or 4 ) );and 1 or 5 4;1
654;( ( 1 or 1 ) and not 2 );and or 1 1 not 2;1
655;( not 1 and ( 2 and 2 ) );and not 1 and 2 2;2
656;( not 4 and ( 1 or 4 ) );and not 4 or 1 4;1
657;( ( 5 and 5 ) and not 3 );and and 5 5 not 3;5
658;( ( 5 or 4 ) and not 4 );and or 5 4 not 4;5
659;( ( 5 or 5 ) and ( 1 or 2 ) );and or 5 5 or 1 2;5
660;( ( 4 or 4 ) or ( 3 and 4 ) );or or 4 4 and 3 4;4
661;( ( 1 and 3 ) or ( 3 and 5 ) );or and 1 3 and 3 5;3
662;( ( 4 or 2 ) and ( 3 and 3 ) );and or 4 2 and 3 3;3
663;( ( 5 or 1 ) and ( 4 or 4 ) );and or 5 1 or 4 4;4
664;( ( 5 and 3 ) or ( 5 and 4 ) );or and 5 3 and 5 4;5
665;( ( 4 and 4 ) and 4 );and and 4 4 4;4
666;( ( 5 or 4 ) and ( 2 or 2 ) );and or 5 4 or 2 2;2
667;( ( 5 or 2 ) and not 5 );and or 5 2 not 5;2
668;( ( 5 and 3 ) or ( 1 and 5 ) );or and 5 3 and 1 5;5
669;( 2 and ( 5 or 1 ) );and 2 or 5 1;2
670;( ( 5 or 5 ) or ( 1 and 5 ) );or or 5 5 and 1 5;5
671;( ( 1 and 1 ) and ( 2 or 1 ) );and and 1 1 or 2 1;1
672;( 2 and ( 5 or 3 ) );and 2 or 5 3;2
673;( ( 3 and 5 ) or ( 5 and 4 ) );or and 3 5 and 5 4;5
674;( not 4 and ( 5 or 4 ) );and not 4 or 5 4;5
675;( ( 2 or 3 ) and 1 );and or 2 3 1;1
676;( ( 1 and 4 ) or ( 1 and 3 ) );or and 1 4 and 1 3;1
677;( ( 2 and 3 ) or ( 2 and 5 ) );or and 2 3 and 2 5;2
678;( 5 or 5 );or 5 5;5
679;( ( 5 and 3 ) or ( 1 and 3 ) );or and 5 3 and 1 3;3
680;( ( 1 or 1 ) and ( 5 or 1 ) );and or 1 1 or 5 1;1
681;( ( 4 or 4 ) and ( 5 or 4 ) );and or 4 4 or 5 4;4
682;( 1 and ( 1 or 4 ) );and 1 or 1 4;1
683;( ( 1 or 1 ) and ( 3 or 4 ) );and or 1 1 or 3 4;1
684;( ( 4 or 4 ) or ( 4 and 2 ) );or or 4 4 and 4 2;4
685;( ( 4 or 2 ) and ( 2 or 2 ) );and or 4 2 or 2 2;2
686;( ( 2 and 1 ) or ( 1 and 1 ) );or and 2 1 and 1 1;1
687;( ( 5 or 5 ) and ( 4 or 5 ) );and or 5 5 or 4 5;5
688;( ( 5 and 5 ) and not 2 );and and 5 5 not 2;5
689;( ( 1 and 1 ) and ( 1 and 1 ) );and and 1 1 and 1 1;1
690;( ( 2 or 2 ) and ( 5 or 1 ) );and or 2 2 or 5 1;2
691;( ( 2 and 2 ) and ( 4 or 1 ) );and and 2 2 or 4 1;2
692;( ( 1 or 3 ) and 4 );and or 1 3 4;4
693;( ( 4 and 4 ) and ( 3 or 5 ) );and and 4 4 or 3 5;4
694;( ( 2 or 1 ) and ( 4 and 4 ) );and or 2 1 and 4 4;4
695;( ( 4 or 1 ) and ( 4 and 4 ) );and or 4 1 and 4 4;4
696;( ( 2 or 3 ) and 3 );and or 2 3 3;3
697;( ( 3 or 3 ) and ( 2 or 4 ) );and or 3 3 or 2 4;3
698;( ( 2 and 3 ) or ( 5 and 3 ) );or and 2 3 and 5 3;3
699;( ( 4 or 2 ) and 3 );and or 4 2 3;3
700;( ( 2 and 2 ) or ( 2 and 3 ) );or and 2 2 and 2 3;2
701;( ( 5 or 2 ) and 1 );and or 5 2 1;1
702;( ( 4 and 1 ) or ( 3 and 1 ) );or and 4 1 and 3 1;1
703;( ( 1 or 5 ) and ( 2 or 2 ) );and or 1 5 or 2 2;2
704;( ( 5 or 2 ) and ( 2 and 2 ) );and or 5 2 and 2 2;2
705;( ( 1 and 5 ) or ( 3 and 1 ) );or and 1 5 and 3 1;1
706;( 1 or ( 1 and 4 ) );or 1 and 1 4;1
707;( ( 5 and 1 ) or ( 3 and 1 ) );or and 5 1 and 3 1;1
708;( ( 3 and 2 ) or ( 3 and 1 ) );or and 3 2 and 3 1;3
709;( ( 5 and 4 ) or ( 5 and 5 ) );or and 5 4 and 5 5;5
710;( not 2 and ( 4 and 4 ) );and not 2 and 4 4;4
711;( ( 2 and 4 ) or ( 4 and 1 ) );or and 2 4 and 4 1;4
712;( ( 5 or 1 ) and 5 );and or 5 1 5;5
713;( ( 5 or 3 ) and ( 3 or 3 ) );and or 5 3 or 3 3;3
714;( ( 1 and 1 ) or ( 1 and 5 ) );or and 1 1 and 1 5;1
715;( ( 5 and 3 ) or ( 3 or 3 ) );or and 5 3 or 3 3;3
716;( 2 and ( 3 or 5 ) );and 2 or 3 5;2
717;( ( 3 or 4 ) and ( 1 or 1 ) );and or 3 4 or 1 1;1
718;( ( 5 and 3 ) or ( 3 and 1 ) );or and 5 3 and 3 1;3
719;( not 4 and ( 4 or 5 ) );and not 4 or 4 5;5
720;( 3 and ( 4 or 1 ) );and 3 or 4 1;3
721;( ( 5 and 5 ) and ( 4 or 1 ) );and and 5 5 or 4 1;5
722;( ( 3 or 3 ) and ( 5 or 1 ) );and or 3 3 or 5 1;3
723;( ( 1 or 4 ) and 3 );and or 1 4 3;3
724;( ( 5 or 5 ) and not 3 );and or 5 5 not 3;5
725;( ( 1 and 2 ) or ( 2 and 4 ) );or and 1 2 and 2 4;2
726;( ( 2 and 2 ) and ( 5 or 4 ) );and and 2 2 or 5 4;2
727;( ( 1 or 1 ) and ( 4 or 3 ) );and or 1 1 or 4 3;1
728;( ( 4 and 4 ) and ( 4 or 3 ) );and and 4 4 or 4 3;4
729;( ( 3 or 3 ) and not 4 );and or 3 3 not 4;3
730;( ( 3 or 4 ) and not 3 );and or 3 4 not 3;4
731;( ( 1 and 1 ) and not 2 );and and 1 1 not 2;1
732;( ( 3 and 3 ) and ( 5 or 3 ) );and and 3 3 or 5 3;3
733;( ( 2 and 1 ) or ( 3 and 2 ) );or and 2 1 and 3 2;2
734;( ( 3 and 3 ) and ( 2 or 1 ) );and and 3 3 or 2 1;3
735;( ( 4 or 1 ) and ( 1 or 1 ) );and or 4 1 or 1 1;1
736;( ( 5 and 2 ) or ( 5 and 3 ) );or and 5 2 and 5 3;5
737;( ( 4 or 1 ) and 1 );and or 4 1 1;1
738;( ( 4 or 4 ) and not 2 );and or 4 4 not 2;4
739;( ( 2 or 5 ) and 5 );and or 2 5 5;5
740;( ( 5 and 4 ) or ( 1 and 5 ) );or and 5 4 and 1 5;5
741;( 4 and ( 5 or 3 ) );and 4 or 5 3;4
742;( ( 1 or 2 ) and ( 4 or 4 ) );and or 1 2 or 4 4;4
743;( ( 2 and 2 ) and ( 3 or 2 ) );and and 2 2 or 3 2;2
744;( ( 2 or 2 ) and ( 3 or 4 ) );and or 2 2 or 3 4;2
745;( ( 1 and 3 ) or ( 2 and 1 ) );or and 1 3 and 2 1;1
746;( ( 5 or 4 ) and not 5 );and or 5 4 not 5;4
747;( ( 5 or 2 ) and 5 );and or 5 2 5;5
748;( ( 4 and 2 ) or ( 2 and 1 ) );or and 4 2 and 2 1;2
749;( ( 2 and 3 ) or ( 4 and 2 ) );or and 2 3 and 4 2;2
750;( 5 or ( 5 and 1 ) );or 5 and 5 1;5
751;( ( 3 and 3 ) and ( 1 or 4 ) );and and 3 3 or 1 4;3
752;( ( 5 and 4 ) or ( 5 and 1 ) );or and 5 4 and 5 1;5
753;( ( 3 or 1 ) and ( 4 and 4 ) );and or 3 1 and 4 4;4
754;( ( 1 or 3 ) and 3 );and or 1 3 3;3
755;( ( 3 and 3 ) and ( 4 or 3 ) );and and 3 3 or 4 3;3
756;( ( 3 and 4 ) or ( 3 and 5 ) );or and 3 4 and 3 5;3
757;( ( 2 and 1 ) or 1 );or and 2 1 1;1
758;( ( 5 or 5 ) and ( 5 or 1 ) );and or 5 5 or 5 1;5
759;( ( 1 and 4 ) or ( 2 and 4 ) );or and 1 4 and 2 4;4
760;( ( 1 and 5 ) or ( 1 and 1 ) );or and 1 5 and 1 1;1
761;( ( 5 or 5 ) or 5 );or or 5 5 5;5
762;( ( 4 and 4 ) and ( 1 or 4 ) );and and 4 4 or 1 4;4
763;( ( 2 or 5 ) and 1 );and or 2 5 1;1
764;( ( 2 or 2 ) and not 3 );and or 2 2 not 3;2
765;( ( 1 or 4 ) and ( 2 or 2 ) );and or 1 4 or 2 2;2
766;( ( 5 and 3 ) or ( 4 and 5 ) );or and 5 3 and 4 5;5
767;( ( 3 and 4 ) or ( 3 and 3 ) );or and 3 4 and 3 3;3
768;( ( 5 and 4 ) or 4 );or and 5 4 4;4
769;( ( 2 or 3 ) and ( 4 or 4 ) );and or 2 3 or 4 4;4
770;( ( 4 or 5 ) and ( 3 and 3 ) );and or 4 5 and 3 3;3
771;( ( 4 or 4 ) and ( 1 or 5 ) );and or 4 4 or 1 5;4
772;( 3 or ( 1 and 3 ) );or 3 and 1 3;3
773;( ( 4 or 5 ) and 3 );and or 4 5 3;3
774;( ( 3 or 3 ) and ( 1 or 4 ) );and or 3 3 or 1 4;3
775;( ( 5 and 4 ) or ( 4 or 4 ) );or and 5 4 or 4 4;4
776;( ( 2 or 3 ) and ( 3 and 3 ) );and or 2 3 and 3 3;3
