;infix;prefix;conclusion
942;( 5 or 5 ) sep ( 1 and 1 );sep or 5 5 and 1 1;TnnnT
943;( 5 or 1 ) sep ( 4 and 2 );sep or 5 1 and 4 2;nTnTT,TTnTn
944;( 5 and 1 ) sep ( 3 or 4 );sep and 5 1 or 3 4;TnnTT,TnTnT
945;4 sep ( 1 and 5 );sep 4 and 1 5;TnnTT
946;( 3 and 2 ) sep 4;sep and 3 2 4;nTTTn
947;( 4 and 1 ) sep ( 3 or 1 );sep and 4 1 or 3 1;TnnTn
948;( 3 or 3 ) sep ( 5 or 3 );sep or 3 3 or 5 3;nnTnn
949;( 4 and 4 ) sep ( 3 and 4 );sep and 4 4 and 3 4;nnTTn
950;( 4 or 1 ) sep 5;sep or 4 1 5;nnnTT,TnnnT
951;not 3 sep ( 1 and 4 );sep not 3 and 1 4;TnFTn
952;not 4 sep ( 3 and 3 );sep not 4 and 3 3;nnTFn
953;( 2 and 3 ) sep ( 5 and 3 );sep and 2 3 and 5 3;nTTnT
954;( 3 and 2 ) sep ( 3 and 2 );sep and 3 2 and 3 2;nTTnn
955;( 4 and 5 ) sep ( 4 or 4 );sep and 4 5 or 4 4;nnnTT
956;not 1 sep ( 3 and 3 );sep not 1 and 3 3;FnTnn
957;5 sep ( 5 and 4 );sep 5 and 5 4;nnnTT
958;3 sep ( 1 and 5 );sep 3 and 1 5;TnTnT
959;( 2 or 3 ) sep ( 2 and 1 );sep or 2 3 and 2 1;TTnnn
960;1 sep ( 1 and 5 );sep 1 and 1 5;TnnnT
961;( 2 and 2 ) sep ( 3 and 1 );sep and 2 2 and 3 1;TTTnn
962;( 3 and 3 ) sep ( 2 or 2 );sep and 3 3 or 2 2;nTTnn
963;1 sep ( 4 or 4 );sep 1 or 4 4;TnnTn
964;2 sep ( 2 and 5 );sep 2 and 2 5;nTnnT
965;( 1 and 4 ) sep ( 5 and 1 );sep and 1 4 and 5 1;TnnTT
966;( 3 and 1 ) sep 1;sep and 3 1 1;TnTnn
967;( 1 or 3 ) sep ( 2 or 4 );sep or 1 3 or 2 4;nnTTn,nTTnn,TnnTn,TTnnn
968;5 sep ( 1 and 5 );sep 5 and 1 5;TnnnT
969;( 2 or 4 ) sep ( 2 or 4 );sep or 2 4 or 2 4;nnnTn,nTnnn
970;( 2 or 1 ) sep ( 5 or 2 );sep or 2 1 or 5 2;nTnnn,TnnnT
971;( 4 and 3 ) sep ( 1 and 4 );sep and 4 3 and 1 4;TnTTn
972;( 2 or 5 ) sep ( 5 and 5 );sep or 2 5 and 5 5;nnnnT
973;not 2 sep ( 5 and 1 );sep not 2 and 5 1;TFnnT
974;not 3 sep ( 1 and 1 );sep not 3 and 1 1;TnFnn
975;not 1 sep ( 2 or 2 );sep not 1 or 2 2;FTnnn
976;not 5 sep ( 3 and 4 );sep not 5 and 3 4;nnTTF
977;not 3 sep ( 4 or 4 );sep not 3 or 4 4;nnFTn
978;( 4 or 4 ) sep ( 2 or 3 );sep or 4 4 or 2 3;nnTTn,nTnTn
979;not 1 sep 2;sep not 1 2;FTnnn
980;( 1 or 5 ) sep ( 5 and 4 );sep or 1 5 and 5 4;nnnTT
981;( 5 and 2 ) sep not 3;sep and 5 2 not 3;nTFnT
982;( 4 and 4 ) sep ( 2 and 2 );sep and 4 4 and 2 2;nTnTn
983;( 4 and 1 ) sep not 3;sep and 4 1 not 3;TnFTn
984;( 4 or 2 ) sep ( 2 or 3 );sep or 4 2 or 2 3;nnTTn,nTnnn
985;( 3 and 5 ) sep 4;sep and 3 5 4;nnTTT
986;( 4 or 5 ) sep ( 4 and 5 );sep or 4 5 and 4 5;nnnTT
987;not 1 sep ( 5 and 5 );sep not 1 and 5 5;FnnnT
988;( 2 and 5 ) sep 1;sep and 2 5 1;TTnnT
989;( 1 or 1 ) sep ( 2 and 2 );sep or 1 1 and 2 2;TTnnn
990;( 3 and 3 ) sep ( 3 or 1 );sep and 3 3 or 3 1;nnTnn
991;not 5 sep ( 1 and 3 );sep not 5 and 1 3;TnTnF
992;3 sep ( 1 or 3 );sep 3 or 1 3;nnTnn
993;( 2 and 1 ) sep not 4;sep and 2 1 not 4;TTnFn
994;( 2 or 2 ) sep ( 5 and 4 );sep or 2 2 and 5 4;nTnTT
995;( 5 and 4 ) sep ( 2 and 2 );sep and 5 4 and 2 2;nTnTT
996;( 5 or 2 ) sep ( 3 and 5 );sep or 5 2 and 3 5;nnTnT
997;( 3 and 2 ) sep ( 5 or 1 );sep and 3 2 or 5 1;nTTnT,TTTnn
998;( 5 or 2 ) sep not 1;sep or 5 2 not 1;FnnnT,FTnnn
999;( 3 or 1 ) sep ( 1 or 4 );sep or 3 1 or 1 4;nnTTn,Tnnnn
1000;5 sep ( 3 or 4 );sep 5 or 3 4;nnnTT,nnTnT
1001;( 1 and 4 ) sep ( 3 and 5 );sep and 1 4 and 3 5;TnTTT
1002;( 1 and 4 ) sep ( 4 and 2 );sep and 1 4 and 4 2;TTnTn
1003;( 1 and 1 ) sep ( 3 and 4 );sep and 1 1 and 3 4;TnTTn
1004;( 2 and 2 ) sep ( 4 and 2 );sep and 2 2 and 4 2;nTnTn
1005;( 3 or 4 ) sep not 4;sep or 3 4 not 4;nnTFn
1006;( 5 and 1 ) sep ( 4 and 3 );sep and 5 1 and 4 3;TnTTT
1007;( 3 or 5 ) sep ( 3 or 4 );sep or 3 5 or 3 4;nnnTT,nnTnn
1008;( 4 and 1 ) sep ( 2 or 3 );sep and 4 1 or 2 3;TnTTn,TTnTn
1009;( 1 or 3 ) sep ( 1 and 3 );sep or 1 3 and 1 3;TnTnn
1010;5 sep ( 1 or 1 );sep 5 or 1 1;TnnnT
1011;( 2 or 4 ) sep ( 2 and 4 );sep or 2 4 and 2 4;nTnTn
1012;( 4 or 5 ) sep 4;sep or 4 5 4;nnnTn
1013;( 5 and 5 ) sep ( 5 and 4 );sep and 5 5 and 5 4;nnnTT
1014;( 1 or 2 ) sep ( 4 or 1 );sep or 1 2 or 4 1;nTnTn,Tnnnn
1015;not 2 sep ( 4 or 5 );sep not 2 or 4 5;nFnnT,nFnTn
1016;( 5 and 1 ) sep not 3;sep and 5 1 not 3;TnFnT
1017;( 4 or 2 ) sep ( 4 and 2 );sep or 4 2 and 4 2;nTnTn
1018;( 1 and 4 ) sep ( 5 and 4 );sep and 1 4 and 5 4;TnnTT
1019;( 2 or 3 ) sep ( 4 or 4 );sep or 2 3 or 4 4;nnTTn,nTnTn
1020;( 5 or 2 ) sep ( 4 or 5 );sep or 5 2 or 4 5;nnnnT,nTnTn
1021;( 4 and 2 ) sep ( 3 and 1 );sep and 4 2 and 3 1;TTTTn
1022;( 1 and 5 ) sep 3;sep and 1 5 3;TnTnT
1023;( 4 or 1 ) sep ( 4 and 5 );sep or 4 1 and 4 5;nnnTT
1024;( 3 and 2 ) sep ( 5 and 5 );sep and 3 2 and 5 5;nTTnT
1025;( 1 or 1 ) sep ( 3 or 3 );sep or 1 1 or 3 3;TnTnn
1026;not 3 sep 4;sep not 3 4;nnFTn
1027;( 2 or 1 ) sep ( 2 and 3 );sep or 2 1 and 2 3;nTTnn
1028;( 1 and 3 ) sep ( 1 and 2 );sep and 1 3 and 1 2;TTTnn
1029;( 4 or 4 ) sep ( 1 or 5 );sep or 4 4 or 1 5;nnnTT,TnnTn
1030;2 sep ( 5 and 5 );sep 2 and 5 5;nTnnT
1031;( 5 or 4 ) sep ( 3 and 5 );sep or 5 4 and 3 5;nnTnT
1032;4 sep ( 5 or 3 );sep 4 or 5 3;nnnTT,nnTTn
1033;not 5 sep ( 2 and 3 );sep not 5 and 2 3;nTTnF
1034;( 5 or 5 ) sep ( 5 and 4 );sep or 5 5 and 5 4;nnnTT
1035;( 4 or 5 ) sep ( 3 and 4 );sep or 4 5 and 3 4;nnTTn
1036;1 sep ( 5 or 2 );sep 1 or 5 2;TnnnT,TTnnn
1037;( 3 and 4 ) sep ( 1 and 3 );sep and 3 4 and 1 3;TnTTn
1038;( 5 and 4 ) sep ( 3 or 5 );sep and 5 4 or 3 5;nnnTT
1039;( 1 or 3 ) sep not 5;sep or 1 3 not 5;nnTnF,TnnnF
1040;( 1 or 2 ) sep 4;sep or 1 2 4;nTnTn,TnnTn
1041;2 sep ( 2 or 3 );sep 2 or 2 3;nTnnn
1042;( 5 or 4 ) sep ( 1 or 3 );sep or 5 4 or 1 3;nnTnT,nnTTn,TnnnT,TnnTn
1043;( 4 or 4 ) sep ( 3 and 5 );sep or 4 4 and 3 5;nnTTT
1044;not 3 sep ( 2 and 1 );sep not 3 and 2 1;TTFnn
1045;( 5 and 4 ) sep ( 1 or 1 );sep and 5 4 or 1 1;TnnTT
1046;( 3 or 2 ) sep ( 4 or 4 );sep or 3 2 or 4 4;nnTTn,nTnTn
1047;( 3 or 4 ) sep ( 3 and 2 );sep or 3 4 and 3 2;nTTnn
1048;( 2 or 2 ) sep 3;sep or 2 2 3;nTTnn
1049;( 2 and 4 ) sep ( 5 or 5 );sep and 2 4 or 5 5;nTnTT
1050;not 1 sep ( 5 or 5 );sep not 1 or 5 5;FnnnT
1051;( 3 and 5 ) sep ( 2 and 1 );sep and 3 5 and 2 1;TTTnT
1052;( 2 or 3 ) sep ( 1 and 5 );sep or 2 3 and 1 5;TnTnT,TTnnT
1053;( 4 or 2 ) sep ( 3 or 2 );sep or 4 2 or 3 2;nnTTn,nTnnn
1054;( 5 or 2 ) sep 1;sep or 5 2 1;TnnnT,TTnnn
1055;( 2 and 5 ) sep not 1;sep and 2 5 not 1;FTnnT
1056;( 3 and 4 ) sep ( 4 or 1 );sep and 3 4 or 4 1;nnTTn
1057;not 1 sep ( 2 and 5 );sep not 1 and 2 5;FTnnT
1058;not 4 sep ( 1 and 1 );sep not 4 and 1 1;TnnFn
1059;1 sep ( 5 or 1 );sep 1 or 5 1;Tnnnn
1060;( 3 or 4 ) sep 1;sep or 3 4 1;TnnTn,TnTnn
1061;( 2 or 3 ) sep ( 1 or 4 );sep or 2 3 or 1 4;nnTTn,nTnTn,TnTnn,TTnnn
1062;( 3 and 4 ) sep ( 4 or 3 );sep and 3 4 or 4 3;nnTTn
1063;( 4 and 3 ) sep ( 1 or 3 );sep and 4 3 or 1 3;nnTTn
1064;not 5 sep ( 1 or 2 );sep not 5 or 1 2;nTnnF,TnnnF
1065;( 3 or 5 ) sep ( 1 and 4 );sep or 3 5 and 1 4;TnnTT,TnTTn
1066;5 sep not 3;sep 5 not 3;nnFnT
1067;( 2 or 2 ) sep ( 3 and 3 );sep or 2 2 and 3 3;nTTnn
1068;( 5 and 2 ) sep ( 1 and 4 );sep and 5 2 and 1 4;TTnTT
1069;( 3 or 2 ) sep ( 3 or 1 );sep or 3 2 or 3 1;nnTnn,TTnnn
1070;( 4 or 1 ) sep not 2;sep or 4 1 not 2;nFnTn,TFnnn
1071;not 2 sep ( 2 or 1 );sep not 2 or 2 1;TFnnn
1072;( 2 and 4 ) sep 5;sep and 2 4 5;nTnTT
1073;not 2 sep ( 5 or 1 );sep not 2 or 5 1;nFnnT,TFnnn
1074;( 5 or 1 ) sep ( 3 or 1 );sep or 5 1 or 3 1;nnTnT,Tnnnn
1075;( 2 and 4 ) sep ( 2 or 1 );sep and 2 4 or 2 1;nTnTn
1076;( 5 or 1 ) sep ( 2 and 2 );sep or 5 1 and 2 2;nTnnT,TTnnn
1077;( 3 or 3 ) sep ( 2 and 1 );sep or 3 3 and 2 1;TTTnn
1078;4 sep ( 3 or 3 );sep 4 or 3 3;nnTTn
1079;( 2 and 3 ) sep ( 1 or 1 );sep and 2 3 or 1 1;TTTnn
1080;1 sep ( 3 and 3 );sep 1 and 3 3;TnTnn
1081;3 sep ( 5 and 3 );sep 3 and 5 3;nnTnT
1082;4 sep not 3;sep 4 not 3;nnFTn
1083;( 5 or 1 ) sep ( 1 and 3 );sep or 5 1 and 1 3;TnTnn
1084;not 3 sep ( 1 or 5 );sep not 3 or 1 5;nnFnT,TnFnn
1085;( 3 or 3 ) sep ( 3 and 4 );sep or 3 3 and 3 4;nnTTn
1086;( 2 or 4 ) sep ( 1 and 4 );sep or 2 4 and 1 4;TnnTn
1087;( 5 or 5 ) sep 3;sep or 5 5 3;nnTnT
1088;( 5 or 5 ) sep 2;sep or 5 5 2;nTnnT
1089;( 5 or 2 ) sep ( 1 and 1 );sep or 5 2 and 1 1;TnnnT,TTnnn
1090;3 sep ( 2 and 2 );sep 3 and 2 2;nTTnn
1091;( 1 and 3 ) sep ( 3 and 1 );sep and 1 3 and 3 1;TnTnn
1092;( 1 or 2 ) sep ( 4 or 5 );sep or 1 2 or 4 5;nTnnT,nTnTn,TnnnT,TnnTn
1093;( 3 and 1 ) sep ( 1 or 4 );sep and 3 1 or 1 4;TnTnn
1094;( 1 or 2 ) sep not 5;sep or 1 2 not 5;nTnnF,TnnnF
1095;not 2 sep ( 1 and 4 );sep not 2 and 1 4;TFnTn
1096;( 3 or 4 ) sep ( 3 or 5 );sep or 3 4 or 3 5;nnnTT,nnTnn
1097;( 3 and 1 ) sep ( 1 and 4 );sep and 3 1 and 1 4;TnTTn
1098;( 3 or 3 ) sep ( 3 or 4 );sep or 3 3 or 3 4;nnTnn
1099;4 sep ( 3 or 5 );sep 4 or 3 5;nnnTT,nnTTn
1100;( 3 or 2 ) sep ( 5 or 1 );sep or 3 2 or 5 1;nnTnT,nTnnT,TnTnn,TTnnn
1101;( 3 or 1 ) sep ( 1 and 4 );sep or 3 1 and 1 4;TnnTn
1102;( 1 or 5 ) sep ( 2 or 2 );sep or 1 5 or 2 2;nTnnT,TTnnn
1103;( 2 and 4 ) sep 3;sep and 2 4 3;nTTTn
1104;( 4 and 4 ) sep ( 1 or 4 );sep and 4 4 or 1 4;nnnTn
1105;( 1 or 2 ) sep ( 5 and 1 );sep or 1 2 and 5 1;TnnnT
1106;( 5 and 2 ) sep ( 3 or 5 );sep and 5 2 or 3 5;nTnnT
1107;not 5 sep ( 4 or 2 );sep not 5 or 4 2;nnnTF,nTnnF
1108;not 5 sep ( 3 or 5 );sep not 5 or 3 5;nnTnF
1109;( 1 or 3 ) sep not 1;sep or 1 3 not 1;FnTnn
1110;( 1 and 3 ) sep not 4;sep and 1 3 not 4;TnTFn
1111;( 4 or 4 ) sep not 5;sep or 4 4 not 5;nnnTF
1112;( 2 and 5 ) sep ( 4 or 2 );sep and 2 5 or 4 2;nTnnT
1113;( 3 or 3 ) sep ( 1 or 1 );sep or 3 3 or 1 1;TnTnn
1114;2 sep ( 5 or 5 );sep 2 or 5 5;nTnnT
1115;( 4 and 5 ) sep not 3;sep and 4 5 not 3;nnFTT
1116;( 4 and 5 ) sep not 2;sep and 4 5 not 2;nFnTT
1117;( 5 or 2 ) sep not 4;sep or 5 2 not 4;nnnFT,nTnFn
1118;( 4 or 3 ) sep ( 3 or 5 );sep or 4 3 or 3 5;nnnTT,nnTnn
1119;( 3 and 1 ) sep not 4;sep and 3 1 not 4;TnTFn
1120;( 1 or 3 ) sep 2;sep or 1 3 2;nTTnn,TTnnn
1121;( 2 or 4 ) sep not 4;sep or 2 4 not 4;nTnFn
1122;( 3 and 1 ) sep ( 5 and 4 );sep and 3 1 and 5 4;TnTTT
1123;( 3 or 2 ) sep ( 3 or 2 );sep or 3 2 or 3 2;nnTnn,nTnnn
1124;( 5 and 2 ) sep ( 5 or 2 );sep and 5 2 or 5 2;nTnnT
1125;5 sep not 1;sep 5 not 1;FnnnT
1126;( 1 and 2 ) sep ( 1 or 2 );sep and 1 2 or 1 2;TTnnn
1127;( 1 or 4 ) sep ( 1 or 1 );sep or 1 4 or 1 1;Tnnnn
1128;( 4 or 1 ) sep ( 1 and 3 );sep or 4 1 and 1 3;TnTnn
1129;not 4 sep 3;sep not 4 3;nnTFn
1130;( 4 or 4 ) sep not 1;sep or 4 4 not 1;FnnTn
1131;( 2 and 4 ) sep ( 1 or 3 );sep and 2 4 or 1 3;nTTTn,TTnTn
1132;( 4 or 3 ) sep ( 3 or 1 );sep or 4 3 or 3 1;nnTnn,TnnTn
1133;( 5 and 4 ) sep ( 2 and 4 );sep and 5 4 and 2 4;nTnTT
1134;( 2 or 2 ) sep ( 5 and 5 );sep or 2 2 and 5 5;nTnnT
1135;( 3 or 4 ) sep ( 1 and 5 );sep or 3 4 and 1 5;TnnTT,TnTnT
1136;( 2 and 1 ) sep ( 3 or 5 );sep and 2 1 or 3 5;TTnnT,TTTnn
1137;( 2 and 5 ) sep ( 5 or 4 );sep and 2 5 or 5 4;nTnnT
1138;( 1 and 5 ) sep 4;sep and 1 5 4;TnnTT
1139;( 2 and 1 ) sep 2;sep and 2 1 2;TTnnn
1140;( 2 and 2 ) sep ( 4 and 1 );sep and 2 2 and 4 1;TTnTn
1141;( 2 or 3 ) sep ( 5 and 5 );sep or 2 3 and 5 5;nnTnT,nTnnT
1142;( 2 and 5 ) sep ( 3 or 1 );sep and 2 5 or 3 1;nTTnT,TTnnT
1143;( 1 or 1 ) sep ( 3 or 4 );sep or 1 1 or 3 4;TnnTn,TnTnn
1144;( 4 and 2 ) sep 5;sep and 4 2 5;nTnTT
1145;( 3 or 1 ) sep 1;sep or 3 1 1;Tnnnn
1146;( 3 and 3 ) sep ( 1 or 3 );sep and 3 3 or 1 3;nnTnn
1147;( 3 and 5 ) sep ( 1 or 1 );sep and 3 5 or 1 1;TnTnT
1148;( 1 or 2 ) sep ( 3 and 1 );sep or 1 2 and 3 1;TnTnn
1149;not 2 sep ( 4 and 1 );sep not 2 and 4 1;TFnTn
1150;( 3 and 4 ) sep 1;sep and 3 4 1;TnTTn
1151;( 4 and 3 ) sep ( 5 and 4 );sep and 4 3 and 5 4;nnTTT
1152;( 3 and 4 ) sep ( 1 and 5 );sep and 3 4 and 1 5;TnTTT
1153;( 1 and 5 ) sep ( 2 and 3 );sep and 1 5 and 2 3;TTTnT
1154;( 3 or 5 ) sep ( 2 and 4 );sep or 3 5 and 2 4;nTnTT,nTTTn
1155;( 1 or 5 ) sep ( 1 and 1 );sep or 1 5 and 1 1;Tnnnn
1156;5 sep ( 4 and 5 );sep 5 and 4 5;nnnTT
1157;( 5 and 3 ) sep ( 1 and 1 );sep and 5 3 and 1 1;TnTnT
1158;not 1 sep ( 5 and 3 );sep not 1 and 5 3;FnTnT
1159;( 3 and 1 ) sep ( 3 and 2 );sep and 3 1 and 3 2;TTTnn
1160;2 sep ( 2 and 1 );sep 2 and 2 1;TTnnn
1161;( 2 or 2 ) sep 1;sep or 2 2 1;TTnnn
1162;( 4 and 2 ) sep ( 4 and 5 );sep and 4 2 and 4 5;nTnTT
1163;( 2 and 2 ) sep ( 1 or 1 );sep and 2 2 or 1 1;TTnnn
1164;3 sep 4;sep 3 4;nnTTn
1165;( 3 and 2 ) sep ( 2 or 5 );sep and 3 2 or 2 5;nTTnn
1166;( 3 or 5 ) sep ( 5 or 5 );sep or 3 5 or 5 5;nnnnT
1167;( 2 or 2 ) sep ( 3 or 4 );sep or 2 2 or 3 4;nTnTn,nTTnn
1168;not 4 sep ( 2 and 2 );sep not 4 and 2 2;nTnFn
1169;( 2 and 2 ) sep not 5;sep and 2 2 not 5;nTnnF
1170;( 3 and 4 ) sep ( 5 and 5 );sep and 3 4 and 5 5;nnTTT
1171;( 1 or 3 ) sep not 4;sep or 1 3 not 4;nnTFn,TnnFn
1172;( 2 or 3 ) sep not 5;sep or 2 3 not 5;nnTnF,nTnnF
1173;( 5 and 2 ) sep 3;sep and 5 2 3;nTTnT
1174;( 2 and 1 ) sep ( 1 or 2 );sep and 2 1 or 1 2;TTnnn
1175;not 1 sep ( 1 or 5 );sep not 1 or 1 5;FnnnT
1176;( 2 or 4 ) sep ( 2 and 3 );sep or 2 4 and 2 3;nTTnn
1177;( 3 and 5 ) sep ( 2 or 5 );sep and 3 5 or 2 5;nnTnT
1178;( 3 and 2 ) sep ( 3 or 5 );sep and 3 2 or 3 5;nTTnn
1179;not 3 sep ( 5 and 5 );sep not 3 and 5 5;nnFnT
1180;( 3 and 5 ) sep ( 3 or 5 );sep and 3 5 or 3 5;nnTnT
1181;( 1 or 3 ) sep ( 4 and 3 );sep or 1 3 and 4 3;nnTTn
1182;( 2 and 2 ) sep ( 3 and 4 );sep and 2 2 and 3 4;nTTTn
1183;( 3 or 2 ) sep ( 2 and 2 );sep or 3 2 and 2 2;nTnnn
1184;( 4 or 5 ) sep 1;sep or 4 5 1;TnnnT,TnnTn
1185;( 2 or 5 ) sep ( 1 and 2 );sep or 2 5 and 1 2;TTnnn
1186;( 2 or 3 ) sep ( 2 or 4 );sep or 2 3 or 2 4;nnTTn,nTnnn
1187;( 5 and 5 ) sep ( 3 or 1 );sep and 5 5 or 3 1;nnTnT,TnnnT
1188;( 5 and 3 ) sep ( 3 or 2 );sep and 5 3 or 3 2;nnTnT
1189;( 3 or 5 ) sep ( 1 or 1 );sep or 3 5 or 1 1;TnnnT,TnTnn
1190;( 2 and 5 ) sep ( 4 and 2 );sep and 2 5 and 4 2;nTnTT
1191;not 2 sep ( 1 and 1 );sep not 2 and 1 1;TFnnn
1192;( 4 or 1 ) sep ( 4 or 2 );sep or 4 1 or 4 2;nnnTn,TTnnn
1193;( 1 and 4 ) sep ( 5 and 2 );sep and 1 4 and 5 2;TTnTT
1194;( 5 and 5 ) sep ( 4 and 5 );sep and 5 5 and 4 5;nnnTT
1195;( 2 or 3 ) sep ( 5 and 4 );sep or 2 3 and 5 4;nnTTT,nTnTT
1196;( 4 or 4 ) sep ( 3 or 1 );sep or 4 4 or 3 1;nnTTn,TnnTn
1197;( 2 and 3 ) sep ( 3 or 5 );sep and 2 3 or 3 5;nTTnn
1198;3 sep ( 2 or 5 );sep 3 or 2 5;nnTnT,nTTnn
1199;( 5 and 3 ) sep ( 4 and 1 );sep and 5 3 and 4 1;TnTTT
1200;( 5 and 1 ) sep 2;sep and 5 1 2;TTnnT
1201;1 sep ( 2 or 1 );sep 1 or 2 1;Tnnnn
1202;( 4 or 1 ) sep 3;sep or 4 1 3;nnTTn,TnTnn
1203;( 4 or 1 ) sep ( 5 and 3 );sep or 4 1 and 5 3;nnTTT,TnTnT
1204;1 sep ( 2 and 1 );sep 1 and 2 1;TTnnn
1205;( 2 or 4 ) sep ( 3 or 5 );sep or 2 4 or 3 5;nnnTT,nnTTn,nTnnT,nTTnn
1206;( 1 or 2 ) sep ( 2 or 3 );sep or 1 2 or 2 3;nTnnn,TnTnn
1207;( 2 and 3 ) sep ( 3 or 1 );sep and 2 3 or 3 1;nTTnn
1208;( 5 or 5 ) sep not 4;sep or 5 5 not 4;nnnFT
1209;2 sep ( 1 and 3 );sep 2 and 1 3;TTTnn
1210;( 3 and 3 ) sep ( 4 and 1 );sep and 3 3 and 4 1;TnTTn
1211;( 2 or 1 ) sep not 4;sep or 2 1 not 4;nTnFn,TnnFn
1212;( 4 or 5 ) sep not 1;sep or 4 5 not 1;FnnnT,FnnTn
1213;( 5 or 3 ) sep ( 2 and 5 );sep or 5 3 and 2 5;nTnnT
1214;( 4 or 1 ) sep 1;sep or 4 1 1;Tnnnn
1215;( 2 and 1 ) sep ( 5 and 1 );sep and 2 1 and 5 1;TTnnT
1216;( 4 or 2 ) sep ( 5 or 1 );sep or 4 2 or 5 1;nnnTT,nTnnT,TnnTn,TTnnn
1217;( 2 and 1 ) sep ( 2 and 1 );sep and 2 1 and 2 1;TTnnn
1218;( 2 or 5 ) sep ( 5 or 5 );sep or 2 5 or 5 5;nnnnT
1219;( 5 and 1 ) sep ( 2 or 1 );sep and 5 1 or 2 1;TnnnT
1220;( 1 or 1 ) sep ( 4 and 1 );sep or 1 1 and 4 1;TnnTn
1221;not 4 sep ( 5 or 4 );sep not 4 or 5 4;nnnFT
1222;( 2 or 3 ) sep ( 1 or 2 );sep or 2 3 or 1 2;nTnnn,TnTnn
1223;( 4 or 3 ) sep ( 2 and 5 );sep or 4 3 and 2 5;nTnTT,nTTnT
1224;( 1 or 5 ) sep not 1;sep or 1 5 not 1;FnnnT
1225;( 5 and 4 ) sep ( 4 and 4 );sep and 5 4 and 4 4;nnnTT
1226;( 5 and 4 ) sep ( 4 or 4 );sep and 5 4 or 4 4;nnnTT
1227;not 4 sep ( 2 or 4 );sep not 4 or 2 4;nTnFn
1228;1 sep ( 1 or 1 );sep 1 or 1 1;Tnnnn
1229;( 3 and 4 ) sep ( 3 or 5 );sep and 3 4 or 3 5;nnTTn
1230;( 5 or 5 ) sep ( 5 or 2 );sep or 5 5 or 5 2;nnnnT
1231;( 3 and 1 ) sep 4;sep and 3 1 4;TnTTn
1232;( 1 or 1 ) sep ( 5 or 4 );sep or 1 1 or 5 4;TnnnT,TnnTn
1233;( 2 and 3 ) sep ( 1 and 5 );sep and 2 3 and 1 5;TTTnT
1234;( 5 and 3 ) sep not 1;sep and 5 3 not 1;FnTnT
1235;1 sep ( 2 or 5 );sep 1 or 2 5;TnnnT,TTnnn
1236;( 3 or 4 ) sep ( 1 or 5 );sep or 3 4 or 1 5;nnnTT,nnTnT,TnnTn,TnTnn
1237;( 5 and 1 ) sep ( 5 or 3 );sep and 5 1 or 5 3;TnnnT
1238;( 3 and 1 ) sep 2;sep and 3 1 2;TTTnn
1239;( 1 and 1 ) sep 2;sep and 1 1 2;TTnnn
1240;( 3 and 3 ) sep ( 3 and 4 );sep and 3 3 and 3 4;nnTTn
1241;( 3 and 4 ) sep ( 5 or 5 );sep and 3 4 or 5 5;nnTTT
1242;( 3 or 2 ) sep 2;sep or 3 2 2;nTnnn
1243;4 sep ( 4 or 2 );sep 4 or 4 2;nnnTn
1244;not 2 sep ( 2 or 4 );sep not 2 or 2 4;nFnTn
1245;( 4 and 4 ) sep ( 1 or 5 );sep and 4 4 or 1 5;nnnTT,TnnTn
1246;( 3 and 3 ) sep ( 4 or 3 );sep and 3 3 or 4 3;nnTnn
1247;( 4 and 4 ) sep ( 5 and 1 );sep and 4 4 and 5 1;TnnTT
1248;( 2 or 3 ) sep ( 2 and 3 );sep or 2 3 and 2 3;nTTnn
1249;( 5 or 5 ) sep ( 2 or 1 );sep or 5 5 or 2 1;nTnnT,TnnnT
1250;( 5 or 1 ) sep ( 5 and 1 );sep or 5 1 and 5 1;TnnnT
1251;( 1 and 5 ) sep ( 1 and 4 );sep and 1 5 and 1 4;TnnTT
1252;( 2 and 1 ) sep ( 2 and 3 );sep and 2 1 and 2 3;TTTnn
1253;not 4 sep ( 3 or 4 );sep not 4 or 3 4;nnTFn
1254;( 2 or 2 ) sep ( 1 or 3 );sep or 2 2 or 1 3;nTTnn,TTnnn
1255;4 sep ( 1 or 4 );sep 4 or 1 4;nnnTn
1256;( 5 and 3 ) sep ( 5 and 4 );sep and 5 3 and 5 4;nnTTT
1257;( 2 and 2 ) sep ( 5 and 4 );sep and 2 2 and 5 4;nTnTT
1258;3 sep ( 1 and 1 );sep 3 and 1 1;TnTnn
1259;( 1 or 3 ) sep ( 3 and 5 );sep or 1 3 and 3 5;nnTnT
1260;( 4 and 2 ) sep ( 3 and 3 );sep and 4 2 and 3 3;nTTTn
1261;( 4 and 4 ) sep ( 2 and 5 );sep and 4 4 and 2 5;nTnTT
1262;( 4 or 5 ) sep ( 2 and 1 );sep or 4 5 and 2 1;TTnnT,TTnTn
1263;( 5 or 3 ) sep ( 4 and 1 );sep or 5 3 and 4 1;TnnTT,TnTTn
1264;( 3 and 1 ) sep ( 2 or 1 );sep and 3 1 or 2 1;TnTnn
1265;( 5 or 5 ) sep ( 4 and 5 );sep or 5 5 and 4 5;nnnTT
1266;( 4 or 3 ) sep 1;sep or 4 3 1;TnnTn,TnTnn
1267;not 5 sep ( 3 or 1 );sep not 5 or 3 1;nnTnF,TnnnF
1268;( 3 or 4 ) sep ( 1 or 1 );sep or 3 4 or 1 1;TnnTn,TnTnn
